Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,JEE_Score,University
1,322.0,108.0,4.0,4.7,4.9,8.91,0,0.804,332,NIT
2,315.0,107.0,2.0,3.3,3.4,9.64,1,0.825,290,NIT
3,324.0,113.0,4.0,2.3,2.3,8.3,1,0.819,335,IIT
4,334.0,117.0,2.0,4.8,2.2,9.38,0,0.788,353,IIT
5,314.0,111.0,3.0,3.3,3.2,7.37,1,0.807,265,Symbiosis
6,314.0,113.0,3.0,2.8,2.0,8.39,0,0.659,275,Symbiosis
7,334.0,106.0,3.0,4.3,4.0,9.02,0,0.717,328,NIT
8,325.0,108.0,1.0,3.9,3.7,8.88,0,0.695,305,SRM
9,311.0,116.0,5.0,3.5,3.5,8.01,0,0.768,302,Symbiosis
10,323.0,110.0,4.0,2.8,2.9,9.51,1,0.871,307,BITS Pilani
11,311.0,106.0,3.0,3.1,2.6,7.91,0,0.684,332,SRM
12,311.0,107.0,4.0,3.8,2.6,10.0,0,0.772,339,BITS Pilani
13,319.0,113.0,3.0,3.0,3.6,9.1,1,0.84,328,IIT
14,295.0,114.0,2.0,3.1,3.7,8.53,1,0.824,328,BITS Pilani
15,297.0,102.0,3.0,2.6,3.2,8.5,1,0.813,311,Manipal
16,310.0,109.0,2.0,4.2,2.2,7.74,1,0.804,282,SRM
17,305.0,107.0,4.0,2.9,4.2,8.05,1,0.824,317,NIT
18,320.0,107.0,2.0,3.9,3.0,9.71,1,0.848,304,BITS Pilani
19,306.0,115.0,1.0,3.4,3.6,8.1,1,0.823,321,NIT
20,301.0,106.0,1.0,2.8,3.8,9.73,1,0.861,315,BITS Pilani
21,333.0,104.0,3.0,5.0,3.6,8.94,1,0.916,327,IIT
22,314.0,102.0,3.0,3.5,3.1,7.54,0,0.683,286,Symbiosis
23,317.0,106.0,5.0,2.2,4.2,9.04,0,0.728,354,BITS Pilani
24,300.0,103.0,1.0,5.0,4.1,8.52,1,0.882,290,SRM
25,310.0,102.0,4.0,4.5,3.7,7.84,1,0.816,295,SRM
26,318.0,102.0,3.0,2.9,3.3,7.67,1,0.815,302,Manipal
27,303.0,102.0,3.0,3.5,4.2,8.9,1,0.872,316,NIT
28,321.0,103.0,3.0,4.2,2.8,8.84,0,0.734,324,Manipal
29,310.0,110.0,3.0,3.9,3.8,8.03,0,0.692,320,SRM
30,313.0,95.0,1.0,4.3,3.9,8.64,0,0.754,329,Manipal
31,310.0,103.0,4.0,3.5,4.3,8.99,1,0.809,360,IIT
32,337.0,107.0,4.0,3.0,4.0,8.11,1,0.79,312,NIT
33,316.0,114.0,4.0,3.5,3.2,8.54,0,0.742,302,SRM
34,305.0,106.0,4.0,2.3,4.6,9.33,1,0.794,295,NIT
35,326.0,106.0,3.0,3.1,4.3,8.46,0,0.78,329,Manipal
36,303.0,107.0,1.0,3.4,2.4,9.28,0,0.688,341,NIT
37,319.0,96.0,4.0,3.8,4.0,8.4,1,0.862,313,NIT
38,294.0,111.0,3.0,5.0,3.8,7.55,1,0.845,272,Symbiosis
39,301.0,111.0,3.0,2.4,4.5,8.17,0,0.725,278,Symbiosis
40,319.0,112.0,4.0,4.9,4.5,8.25,1,0.85,335,BITS Pilani
41,325.0,120.0,3.0,3.8,3.6,7.93,0,0.737,334,Manipal
42,318.0,99.0,3.0,1.0,2.8,7.91,1,0.716,330,NIT
43,315.0,98.0,2.0,4.6,3.2,7.6,1,0.73,292,SRM
44,313.0,111.0,3.0,3.3,3.9,7.74,1,0.815,312,NIT
45,300.0,105.0,5.0,4.9,3.6,9.56,0,0.763,311,SRM
46,308.0,101.0,2.0,2.8,4.0,8.11,1,0.808,305,Manipal
47,311.0,105.0,4.0,3.0,4.4,8.27,0,0.697,337,Manipal
48,328.0,103.0,4.0,4.2,3.7,8.88,1,0.859,335,IIT
49,320.0,118.0,1.0,1.7,3.4,8.37,1,0.852,331,IIT
50,297.0,120.0,4.0,2.7,2.9,9.55,1,0.81,310,BITS Pilani
51,320.0,97.0,3.0,1.9,1.0,8.16,0,0.587,322,SRM
52,312.0,98.0,3.0,2.4,3.2,8.46,1,0.759,321,NIT
53,309.0,103.0,5.0,5.0,3.5,7.98,1,0.812,266,Symbiosis
54,323.0,103.0,4.0,2.4,2.6,8.69,1,0.85,315,NIT
55,328.0,102.0,2.0,2.6,4.1,8.19,0,0.643,311,SRM
56,327.0,106.0,4.0,1.0,2.8,7.59,0,0.674,296,Symbiosis
57,307.0,104.0,2.0,2.7,3.5,9.08,0,0.657,313,SRM
58,313.0,99.0,2.0,1.0,3.2,8.12,0,0.642,350,NIT
59,320.0,101.0,3.0,3.7,5.0,8.87,0,0.73,295,Symbiosis
60,327.0,117.0,4.0,4.1,4.9,9.92,0,0.763,353,IIT
61,311.0,105.0,1.0,3.8,4.1,8.94,1,0.833,275,SRM
62,314.0,105.0,3.0,1.9,3.5,7.79,1,0.774,296,SRM
63,304.0,98.0,4.0,3.3,3.9,8.07,1,0.751,303,Manipal
64,303.0,104.0,2.0,3.8,3.4,9.04,1,0.833,325,BITS Pilani
65,326.0,113.0,3.0,3.0,4.3,8.43,0,0.733,341,NIT
66,332.0,111.0,3.0,2.1,4.2,8.55,0,0.7,348,BITS Pilani
67,316.0,112.0,5.0,4.3,4.1,7.93,0,0.747,300,Symbiosis
68,328.0,100.0,3.0,2.2,3.8,9.37,0,0.699,309,SRM
69,321.0,100.0,3.0,3.8,3.9,8.32,1,0.815,341,IIT
70,309.0,114.0,2.0,3.4,4.3,8.71,0,0.746,303,SRM
71,321.0,112.0,5.0,4.8,5.0,9.04,0,0.784,292,SRM
72,334.0,106.0,3.0,5.0,4.4,8.11,1,0.949,294,Manipal
73,316.0,112.0,3.0,2.8,2.3,9.35,1,0.796,308,BITS Pilani
74,334.0,100.0,4.0,2.2,3.4,8.76,0,0.675,349,BITS Pilani
75,287.0,100.0,4.0,3.5,3.0,8.19,1,0.731,293,SRM
76,326.0,97.0,2.0,3.4,3.5,8.36,1,0.8,331,BITS Pilani
77,317.0,109.0,3.0,4.0,3.4,7.71,1,0.775,292,SRM
78,313.0,109.0,2.0,2.6,3.3,9.52,1,0.801,326,IIT
79,318.0,104.0,2.0,2.6,3.9,9.39,0,0.657,337,NIT
80,294.0,102.0,5.0,3.3,3.4,8.22,1,0.802,284,SRM
81,314.0,120.0,4.0,3.7,4.2,8.64,1,0.834,323,BITS Pilani
82,321.0,106.0,4.0,2.2,3.2,8.31,1,0.758,301,Manipal
83,333.0,116.0,2.0,3.2,2.7,8.44,1,0.85,316,BITS Pilani
84,311.0,106.0,3.0,3.3,3.4,7.66,0,0.706,292,Symbiosis
85,307.0,104.0,2.0,4.0,3.0,9.04,0,0.727,281,Symbiosis
86,311.0,116.0,4.0,3.3,4.4,8.84,0,0.73,325,Manipal
87,327.0,112.0,2.0,4.5,4.2,8.45,0,0.697,310,SRM
88,320.0,107.0,2.0,4.0,4.6,7.81,0,0.773,312,SRM
89,310.0,114.0,4.0,1.6,2.6,8.73,1,0.726,317,BITS Pilani
90,322.0,120.0,5.0,3.1,2.0,7.47,0,0.685,321,SRM
91,318.0,103.0,4.0,4.5,5.0,8.2,1,0.793,328,BITS Pilani
92,327.0,110.0,5.0,2.5,2.4,8.05,0,0.697,311,SRM
93,309.0,105.0,5.0,3.6,4.2,7.82,0,0.681,291,Symbiosis
94,313.0,102.0,5.0,3.7,4.1,10.0,1,0.845,328,IIT
95,312.0,101.0,3.0,3.5,3.5,8.4,0,0.698,271,Symbiosis
96,300.0,117.0,3.0,3.0,3.3,8.72,1,0.806,269,SRM
97,320.0,96.0,2.0,3.4,2.6,9.03,1,0.78,285,Manipal
98,319.0,110.0,4.0,2.8,4.6,8.94,1,0.797,290,Manipal
99,317.0,102.0,3.0,2.7,4.2,8.05,1,0.85,317,NIT
100,314.0,118.0,2.0,4.3,5.0,7.81,1,0.86,284,SRM
101,300.0,106.0,4.0,3.1,3.4,8.19,1,0.782,291,SRM
102,312.0,105.0,1.0,5.0,3.4,8.6,0,0.741,342,NIT
103,313.0,117.0,2.0,1.9,2.4,8.17,1,0.79,304,NIT
104,307.0,113.0,3.0,3.5,4.1,8.57,0,0.757,328,Manipal
105,315.0,111.0,4.0,2.6,1.5,8.87,1,0.784,283,Manipal
106,321.0,112.0,3.0,4.1,1.9,9.68,1,0.799,323,IIT
107,338.0,101.0,3.0,2.2,3.7,9.45,1,0.869,317,BITS Pilani
108,318.0,112.0,4.0,4.5,3.9,8.29,0,0.779,306,SRM
109,319.0,106.0,4.0,4.1,2.9,8.72,0,0.717,341,NIT
